"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.243341616E0,7.972116470E-1,7.901384234E-1,3.747037411E0,3.911541192E0
1.248254064E0,8.033480644E-1,9.294155836E-1,3.731522560E0,3.928541976E0
1.253165783E0,9.760489464E-1,9.984156489E-1,3.848052025E0,4.093532672E0
1.258076616E0,1.120428562E0,1.017829180E0,4.056831360E0,4.330036615E0
1.262988335E0,1.197154999E0,9.818494320E-1,4.296863079E0,4.567301251E0
1.267900835E0,1.290130138E0,9.374067187E-1,4.615367413E0,4.883112070E0
1.272812502E0,1.448920250E0,9.025321007E-1,5.035952568E0,5.317400902E0
1.277723335E0,1.661075115E0,8.808304071E-1,5.460406780E0,5.775038957E0
1.282635106E0,1.848034382E0,7.825804353E-1,5.807139874E0,6.144146542E0
1.287547554E0,1.962628841E0,8.600968122E-1,6.080832481E0,6.447340705E0
1.292459273E0,1.928708076E0,8.760231137E-1,6.265124321E0,6.613555330E0
1.297370106E0,1.843635559E0,8.498894572E-1,6.327798843E0,6.645475330E0
1.302281825E0,1.701327801E0,7.940611243E-1,6.265772343E0,6.541020746E0
1.307194325E0,1.583592415E0,7.330088615E-1,6.104885101E0,6.349384933E0
1.312105991E0,1.543822289E0,7.223103046E-1,5.934947014E0,6.174845382E0
1.317016825E0,1.483488560E0,7.789456844E-1,5.634877205E0,5.878718891E0
1.321928543E0,1.491506577E0,8.555411100E-1,5.221667290E0,5.497485948E0
1.326841043E0,1.489625931E0,9.166947007E-1,4.724050522E0,5.037456493E0
1.331752710E0,1.516206741E0,9.584377408E-1,4.292695522E0,4.652388702E0
1.336663543E0,1.583013535E0,9.741551876E-1,3.932317257E0,4.349486083E0
1.341575314E0,1.737970829E0,9.925598502E-1,3.749809265E0,4.250504345E0
1.346487762E0,1.885574818E0,9.707261920E-1,3.694357872E0,4.259810068E0
1.351399481E0,2.095490456E0,8.822938204E-1,3.777161121E0,4.408681069E0
1.356310314E0,2.030130863E0,7.774016261E-1,3.481607914E0,4.104555795E0
1.361222033E0,1.977401733E0,6.563631296E-1,3.264280319E0,3.872525813E0
1.366134533E0,1.961131573E0,5.002756119E-1,3.101088047E0,3.703114879E0
1.371046200E0,1.902149200E0,3.359496593E-1,2.996928692E0,3.565475472E0
1.375957033E0,1.887055874E0,1.612867117E-1,2.977441788E0,3.528760813E0
1.380868804E0,1.907607079E0,-4.097722471E-3,2.902871132E0,3.473563353E0
1.385781252E0,1.841671467E0,-1.401579976E-1,2.767023087E0,3.326832550E0
1.390692970E0,1.689038754E0,-2.170469463E-1,2.525603294E0,3.046084912E0
1.395603804E0,1.458716393E0,-2.358550578E-1,2.263446808E0,2.703085750E0
1.400515523E0,1.228638649E0,-1.596568078E-1,1.962627888E0,2.320980709E0
1.405428023E0,9.691138268E-1,1.717713475E-2,1.722157478E0,1.976183960E0
1.410339689E0,6.835494041E-1,2.331646681E-1,1.440673828E0,1.611566514E0
1.415250523E0,3.150892258E-1,4.483215213E-1,1.175181866E0,1.296659487E0
1.420162241E0,-2.445745468E-2,6.727073789E-1,9.188861847E-1,1.139072081E0
1.425074741E0,-2.627553940E-1,9.113771319E-1,7.421488762E-1,1.204339499E0
1.429986408E0,-3.856005669E-1,1.114049673E0,6.345071793E-1,1.338803134E0
1.434897241E0,-4.027175903E-1,1.278095961E0,6.308784485E-1,1.481120643E0
1.439809012E0,-3.448295593E-1,1.345534205E0,6.702985764E-1,1.542293715E0
1.444721460E0,-3.234443665E-1,1.351562500E0,6.607961655E-1,1.538827158E0
1.449633179E0,-3.397059441E-1,1.271656036E0,5.868463516E-1,1.441144630E0
1.454544012E0,-3.568449020E-1,1.145969987E0,5.547728539E-1,1.322255049E0
1.459455731E0,-2.904005051E-1,1.054929972E0,5.821456909E-1,1.239396347E0
1.464368231E0,-1.107330322E-1,8.994989991E-1,7.744898796E-1,1.192138762E0
1.469279898E0,1.596164703E-1,6.786718369E-1,1.131702423E0,1.329219039E0
1.474190731E0,4.198598862E-1,4.818012118E-1,1.493579865E0,1.624560108E0
1.479102502E0,6.481962204E-1,3.003151417E-1,1.867524147E0,1.999498428E0
1.484014950E0,7.794184685E-1,1.689212322E-1,2.242150307E0,2.379761654E0
1.488926668E0,8.657674789E-1,8.417731524E-2,2.610674858E0,2.751774403E0
1.493837502E0,9.095878601E-1,2.869993448E-2,2.913571358E0,3.052387888E0
1.498749220E0,9.757170677E-1,1.133483648E-2,3.160450935E0,3.307658143E0
1.503661668E0,9.810366631E-1,-1.365327835E-2,3.301115036E0,3.443832143E0
1.508573387E0,9.812951088E-1,-1.994693279E-2,3.376077652E0,3.515855270E0
1.513484220E0,9.198417664E-1,-5.043464899E-2,3.335103035E0,3.459994911E0
1.518395939E0,7.688813210E-1,-1.381105185E-1,3.185356140E0,3.279747969E0
1.523308439E0,5.366177559E-1,-2.320418358E-1,2.924327850E0,2.982196406E0
1.528220106E0,2.571859360E-1,-3.363078237E-1,2.583094597E0,2.617560936E0
1.533130939E0,-8.359622955E-2,-4.092929363E-1,2.216738701E0,2.255756969E0
1.538042710E0,-4.334163666E-1,-4.907818437E-1,1.823126793E0,1.937139094E0
1.542955158E0,-7.309775352E-1,-5.603836775E-1,1.436105728E0,1.706094278E0
1.547866877E0,-9.530181885E-1,-6.146082878E-1,1.065324783E0,1.555925419E0
1.552777710E0,-1.082947254E0,-6.830922365E-1,6.841821671E-1,1.451721391E0
1.557689429E0,-1.194553852E0,-7.286122441E-1,2.873811722E-1,1.428433634E0
1.562601929E0,-1.260990620E0,-7.546660304E-1,-1.352729797E-1,1.475776724E0
1.567513595E0,-1.252625942E0,-6.911624670E-1,-4.414916039E-1,1.497228153E0
1.572424429E0,-1.058337212E0,-5.930675268E-1,-5.254306793E-1,1.322075695E0
1.577336148E0,-7.222299576E-1,-4.656078815E-1,-3.962154388E-1,9.462523368E-1
1.582248648E0,-4.175004959E-1,-3.308174610E-1,-3.108849525E-1,6.167627666E-1
1.587160314E0,-1.839013100E-1,-2.606142759E-1,-2.578992844E-1,4.101847553E-1
1.592071148E0,-7.165431976E-3,-2.481676340E-1,-2.273960114E-1,3.366711511E-1
1.596982918E0,1.809296608E-1,-2.150082588E-1,-1.468586922E-1,3.170671364E-1
1.601895366E0,3.149795532E-1,-2.000524998E-1,-9.922122955E-2,3.861061693E-1
1.606807085E0,4.186196327E-1,-1.942179203E-1,-6.491518021E-2,4.660225081E-1
1.611717918E0,4.033131599E-1,-1.981458664E-1,-7.218170166E-2,4.551192013E-1
1.616629637E0,3.880190849E-1,-2.145189047E-1,-7.018089294E-2,4.488903301E-1
1.621542137E0,1.600370407E-1,-2.743675709E-1,-1.470327377E-1,3.500114917E-1
1.626453804E0,-1.102194786E-1,-4.182481766E-1,-3.003034592E-1,5.265567759E-1
1.631364637E0,-1.895637512E-1,-5.476433039E-1,-5.642137527E-1,8.088168908E-1
1.636276408E0,-1.712573051E0,-2.237682343E-1,-6.881520748E0,7.094949365E0
