"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.647088083E0,8.660227780E-1,2.069299652E0,1.673226367E0,2.798514424E0
1.657045083E0,4.741755679E-2,2.217121211E0,2.484991223E0,3.330624006E0
1.667003083E0,-3.606533378E-1,2.459430120E0,3.300967244E0,4.132221205E0
1.676960083E0,-5.460657687E-1,2.480665453E0,3.698108377E0,4.486412206E0
1.686918083E0,-3.101876275E-1,2.144880908E0,3.867461869E0,4.433282281E0
1.696875083E0,1.989580907E-1,1.573904247E0,3.952292104E0,4.258799335E0
1.706833083E0,9.423635870E-2,1.109523788E0,3.981850948E0,4.134617334E0
1.716790083E0,4.875256383E-1,9.312287343E-1,4.041449279E0,4.175904749E0
1.726748083E0,1.271577031E0,7.409072734E-1,4.326202834E0,4.569669867E0
1.736705083E0,1.800343374E0,1.838310514E-1,4.589552656E0,4.933459608E0
1.746663083E0,1.497496487E0,1.397902617E-1,4.785656574E0,5.016427603E0
1.756620083E0,4.532311338E-1,4.018037758E-1,4.865038374E0,4.902597589E0
1.766578083E0,-4.966411552E-1,3.815077248E-1,4.346821285E0,4.391703072E0
1.776535083E0,-1.149440244E0,8.978684686E-1,3.459861236E0,3.754733071E0
1.786493083E0,-1.842370675E0,1.708901107E0,2.525412440E0,3.562636761E0
1.796450083E0,-2.446975843E0,2.099410182E0,1.641577728E0,3.618009304E0
1.806408083E0,-2.600781881E0,2.041461790E0,9.005711979E-1,3.426756646E0
1.816365083E0,-2.424979202E0,2.095078711E0,5.273083395E-1,3.247758153E0
1.826323083E0,-1.950233092E0,1.984059674E0,5.441149914E-1,2.834777421E0
1.836280083E0,-1.599904329E0,1.928534660E0,5.511234641E-1,2.565672791E0
1.846238083E0,-9.930267870E-1,2.086400273E0,2.528961700E-1,2.324462254E0
1.856195083E0,-3.357323585E-1,2.157691427E0,1.676075131E-1,2.190077804E0
1.866153083E0,3.786170076E-1,2.053232235E0,6.079478753E-1,2.174560661E0
1.876110083E0,1.457958053E0,1.635588863E0,9.522599995E-1,2.389056659E0
1.886068083E0,2.146081926E0,1.545946223E0,1.437619244E0,3.010376463E0
1.896025083E0,2.058534198E0,1.871413503E0,2.381279744E0,3.662000104E0
1.905983083E0,1.204871045E0,2.374144679E0,3.187473373E0,4.153102899E0
1.915940083E0,3.821484335E-1,2.495009258E0,3.649758920E0,4.437549864E0
1.925898083E0,-1.071798284E-1,1.867318259E0,3.539060603E0,4.002913307E0
1.935855083E0,-7.886357559E-1,1.292194167E0,2.848215582E0,3.225530053E0
1.945813083E0,-1.363744937E0,1.018282227E0,2.296050144E0,2.858066691E0
1.955770083E0,-1.659944417E0,5.866366746E-1,2.141759080E0,2.772488054E0
1.965728083E0,-1.676687042E0,4.943354884E-1,2.562016010E0,3.101543656E0
1.975685083E0,-2.050585493E0,6.758306868E-1,3.306419188E0,3.948930972E0
1.985642083E0,-2.574587524E0,7.512655429E-1,3.714735519E0,4.581720290E0
1.995600083E0,-2.587853687E0,8.346434028E-1,3.699202391E0,4.591047227E0
2.005557083E0,-2.449998707E0,8.089982459E-1,3.620651481E0,4.445906991E0
2.015515083E0,-2.046872364E0,3.779422024E-1,3.833211803E0,4.361884857E0
2.025472083E0,-1.370329487E0,2.344384106E-1,4.284545515E0,4.504452746E0
2.035430083E0,-5.531638500E-1,1.872460081E-1,4.502363654E0,4.540080372E0
2.045387083E0,-2.727166048E-1,-3.013731692E-2,4.541627707E0,4.549908222E0
2.055345083E0,1.501030782E-1,-8.617772609E-3,4.482915815E0,4.485436367E0
2.065302083E0,4.912186667E-1,3.424062609E-1,4.525788769E0,4.565227465E0
2.075260083E0,5.348017656E-1,1.485428857E-1,4.932001857E0,4.963136129E0
2.085217083E0,-1.519381628E-1,-1.462048400E-1,4.893171667E0,4.897712734E0
2.095175083E0,-7.053005075E-1,-1.371092768E-1,3.803434272E0,3.870705365E0
2.105132083E0,-1.176884736E0,-4.439794134E-1,2.652653700E0,2.935770266E0
2.115090083E0,-1.593758760E0,-9.922168015E-1,1.971803910E0,2.722603868E0
2.125047083E0,-1.873361210E0,-9.414745910E-1,1.941679054E0,2.857616871E0
2.135000375E0,-1.750364736E0,-5.003401038E-1,2.076584845E0,2.761579538E0
2.144957375E0,-1.599386559E0,-7.421844515E-1,2.310400965E0,2.906342675E0
2.154915375E0,-1.340205801E0,-1.189953774E0,2.495237299E0,3.072189895E0
2.164872375E0,-1.123266426E0,-1.318995026E0,2.036415058E0,2.673660717E0
2.174830375E0,-9.734364219E-1,-1.321995671E0,1.228883001E0,2.050708281E0
2.184787375E0,-6.917400835E-1,-1.432962814E0,5.850612885E-1,1.695341701E0
2.194745375E0,-3.350096427E-1,-1.335733266E0,3.074963003E-1,1.411016936E0
2.204702375E0,2.845709940E-1,-1.232036112E0,-2.199734223E-1,1.283464818E0
2.214660375E0,5.332358813E-1,-7.241480570E-1,-3.747989219E-1,9.742715974E-1
2.224617375E0,3.764050059E-1,-2.803447545E-2,8.466768265E-3,3.775425095E-1
2.234575375E0,1.658138979E-1,4.639376049E-1,2.146331602E-1,5.374009151E-1
2.244532375E0,2.245661544E-2,7.145484638E-1,4.663096011E-2,7.164204444E-1
2.254490375E0,-1.592159546E-1,8.757195812E-1,-6.107416749E-2,8.921684589E-1
2.264447375E0,-2.201513056E-1,9.967904205E-1,3.276896596E-2,1.021338115E0
2.274405375E0,-1.069131862E-1,8.229334764E-1,2.129368830E-1,8.567333612E-1
2.284362375E0,2.530266360E-1,4.190275535E-1,7.927660829E-1,9.317105942E-1
2.294320375E0,7.346460749E-1,6.847016439E-2,1.839225896E0,1.981702529E0
2.304277375E0,1.336940131E0,-5.016252487E-1,2.552363427E0,2.924653119E0
2.314235375E0,1.261988328E0,-9.249643198E-1,2.755935409E0,3.169125039E0
2.324192375E0,8.157526571E-1,-1.319380650E0,1.861633596E0,2.423199815E0
2.334149375E0,7.406302616E-1,-1.482328517E0,6.653669482E-1,1.785649516E0
2.344107375E0,-1.050101459E-2,-8.644777244E-1,8.221822554E-1,1.193069851E0
2.354064375E0,-9.078408949E-1,-8.586277313E-1,1.122187103E0,1.679500094E0
2.364022375E0,-1.085959217E0,-6.824108510E-1,5.272118604E-1,1.386702685E0
2.373979375E0,-1.444344127E0,-3.269929639E-1,2.939787072E-1,1.509793972E0
